id_venda,data,produto,categoria,quantidade,preco_unitario,valor_total,vendedor,cidade
1,2025-08-18,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Carlos,Rio de Janeiro
2,2025-09-01,Webcam HD,Eletrônicos,2,180.0,360.0,Carlos,Belo Horizonte
3,2025-07-20,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Belo Horizonte
4,2025-08-16,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,Belo Horizonte
5,2025-05-07,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Bruno,Belo Horizonte
6,2025-08-03,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Eduardo,Belo Horizonte
7,2025-03-11,Headset RGB,Eletrônicos,2,250.0,500.0,Diana,Belo Horizonte
8,2025-11-18,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Bruno,Belo Horizonte
9,2025-06-14,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Bruno,Porto Alegre
10,2025-05-20,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Diana,Belo Horizonte
11,2026-01-23,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Eduardo,Belo Horizonte
12,2025-10-26,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Belo Horizonte
13,2026-01-23,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Carlos,Rio de Janeiro
14,2025-03-11,Headset RGB,Eletrônicos,3,250.0,750.0,Ana,Porto Alegre
15,2025-12-27,Monitor 24pol,Eletrônicos,1,890.0,890.0,Carlos,Porto Alegre
16,2025-08-05,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Diana,Porto Alegre
17,2026-01-10,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,Belo Horizonte
18,2025-06-14,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Ana,Belo Horizonte
19,2025-03-28,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Eduardo,Rio de Janeiro
20,2025-11-01,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Eduardo,Rio de Janeiro
21,2025-03-16,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,Rio de Janeiro
22,2025-02-15,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Carlos,Porto Alegre
23,2025-05-24,Webcam HD,Eletrônicos,2,180.0,360.0,Diana,Porto Alegre
24,2025-03-18,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Diana,São Paulo
25,2025-12-26,Headset RGB,Eletrônicos,3,250.0,750.0,Eduardo,São Paulo
26,2025-08-11,Headset RGB,Eletrônicos,3,250.0,750.0,Ana,Rio de Janeiro
27,2025-10-06,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Carlos,Belo Horizonte
28,2026-01-01,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Eduardo,Curitiba
29,2025-02-13,Webcam HD,Eletrônicos,3,180.0,540.0,Bruno,Curitiba
30,2025-07-26,Webcam HD,Eletrônicos,2,180.0,360.0,Ana,Rio de Janeiro
31,2025-04-14,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Bruno,Curitiba
32,2025-05-22,Monitor 24pol,Eletrônicos,1,890.0,890.0,Eduardo,Rio de Janeiro
33,2025-05-11,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Bruno,Belo Horizonte
34,2025-11-20,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Diana,Rio de Janeiro
35,2025-08-06,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Ana,Belo Horizonte
36,2025-08-08,Headset RGB,Eletrônicos,3,250.0,750.0,Carlos,São Paulo
37,2025-03-26,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,São Paulo
38,2025-03-05,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Ana,São Paulo
39,2025-12-31,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,Belo Horizonte
40,2025-12-07,Webcam HD,Eletrônicos,1,180.0,180.0,Bruno,Porto Alegre
41,2025-08-31,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Carlos,Rio de Janeiro
42,2026-02-01,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Diana,Rio de Janeiro
